Sample File,x
Classifier Model,3080
DMA Model,1
DMA Inner Radius(cm),0.0095
DMA Outer Radius(cm),0.02
DMA Characteristic Length(cm),0.31235
CPC Model,3787 Low Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
 91.4,58.6195,42.8048,35.5832
 94.7,62.9508,63.1796,63.0652
 98.2,82.2219,54.587,42.9548
101.8,71.5959,56.0103,73.0566
105.5,60.0006,68.3434,66.3022
109.4,54.6108,70.1755,85.4828
113.4,90.2112,66.348,46.2999
117.6,65.4797,73.1594,74.6221
121.9,64.9056,38.0316,64.9056
126.3,80.0456,87.3508,25.9361
131.0,55.6773,57.1938,67.5619
135.8,66.9549,51.0447,63.7002
140.7,85.915,83.6171,46.7907
145.9,74.0657,58.0664,93.4212
151.2,52.3254,104.498,59.6896
156.8,64.589,46.651,66.0889
162.5,67.5122,54.6703,54.6463
168.5,46.8409,72.4531,86.091
174.7,52.9918,64.5524,70.6074
181.1,58.003,68.5063,40.6657
187.7,51.5348,56.2069,71.7563
194.6,60.171,60.5008,44.8793
201.7,51.3842,67.4581,52.9366
209.1,76.954,67.5672,31.7778
216.7,53.9814,49.8297,55.0965
224.7,33.964,54.9274,41.927
232.9,33.7096,58.8474,42.4803
241.4,37.5159,21.4972,51.4566
250.3,24.2691,60.8095,21.7177
259.5,64.1748,30.7199,48.2742
269.0,13.3752,8.9168,13.3752
278.8,13.5177,27.0355,4.50591
289.0,22.8982,22.8982,9.1593
299.6,13.9676,18.6235,13.9676
310.6,11.3813,14.1235,9.41568
322.0,26.7319,0,19.1541
333.8,9.74418,4.87209,0
346.0,9.8583,14.7874,4.92915
358.7,5.01783,0,5.01783
371.8,0,5.10982,10.2196
385.4,5.2053,0,0
399.5,12.7939,10.5414,0
414.2,3.07644,0,0
429.4,5.47828,0,0
445.1,0,0,0
461.4,0,5.6641,0
478.3,5.78205,5.78205,0
495.8,0,5.8632,0
514.0,0,5.9898,0
532.8,6.07705,0,6.07705
552.3,18.5008,0,0
572.5,,,
593.5,,,
615.3,,,
637.8,,,
661.2,,,
685.4,,,
710.5,,,
736.5,,,
763.5,,,
791.5,,,
820.5,,,
850.5,,,
881.7,,,
914.0,,,
947.5,,,
982.2,,,
Scan Up Time(s),270,270,270
Retrace Time(s),20,20,20
Down Scan First,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1
Impactor Type(cm),None,None,None
Sheath Flow(lpm),3,3,3
Aerosol Flow(lpm),0.6,0.6,0.6
CPC Inlet Flow(lpm),0.6,0.6,0.6
CPC Sample Flow(lpm),0.6,0.6,0.6
Low Voltage,10.439,10.439,10.439
High Voltage,9563.78,9563.78,9563.78
Lower Size(nm),11.1397,11.1397,11.1397
Upper Size(nm),562.341,562.341,562.341
Density(g/cc),1.2,1.2,1.2
Title,,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),1,1,1
tf(s),5.06584,5.06584,5.06584
D50(nm),1000,1000,1000
Median(nm),97.7637,108.56,108.904
Mean(nm),115.362,121.04,119.18
Geo. Mean(nm),87.6468,93.8538,94.706
Mode(nm),42.9351,151.247,145.902
Geo. Std. Dev.,2.15876,2.14244,2.06407
Total Concentration(#/cm³),57.3497,51.7377,46.0521
Comment,,,
